Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
53,192,122,332,78,119,2,7,978,131,1690948.0,9.68,946.0,57.04,47.98,65.56,1884.0,2104
152,35,66,228,53,101,22,7,471,61,1000717.0,14.29,900.0,64.95,54.89,73.98,1228.0,1700
196,49,78,268,108,66,0,13,404,126,1994618.0,4.42,914.0,53.78,42.75,63.82,1788.0,2429
412,134,199,590,75,270,12,21,1102,241,4476044.0,3.68,925.0,60.9,48.3,72.53,3501.0,5181
69,41,52,282,82,61,27,9,535,78,1359054.0,28.3,879.0,73.3,65.53,80.06,1419.0,1780
314,193,444,2540,330,458,0,16,1828,258,4778610.0,9.83,898.0,65.68,56.82,73.61,3172.0,9091
215,99,207,626,162,334,0,20,1114,189,2872523.0,15.93,921.0,66.41,54.76,77.11,2355.0,6920
348,286,752,4835,1193,678,92,24,1600,266,5772804.0,43.48,892.0,72.47,63.72,80.28,3202.0,19846
126,71,161,953,154,160,31,19,1907,200,2962593.0,14.43,914.0,75.59,64.95,85.29,3881.0,5216
159,42,115,363,149,89,0,10,651,107,1897102.0,8.18,906.0,54.57,42.73,65.22,1687.0,3214
342,154,255,765,130,223,0,20,1138,182,4254782.0,3.46,909.0,63.81,53.52,73.09,2904.0,5694
475,111,249,882,211,240,1,20,1564,178,3943098.0,8.93,949.0,68.57,56.89,79.71,2641.0,5647
26,15,51,164,93,96,0,6,355,43,634927.0,17.14,926.0,65.96,54.93,76.14,689.0,1331
48,29,33,125,25,36,17,5,183,34,656916.0,4.28,890.0,56.0,47.25,63.72,349.0,788
441,53,220,827,84,271,61,17,852,169,3419622.0,5.58,899.0,53.53,43.4,62.56,2294.0,5446
325,51,198,745,285,121,0,19,1405,171,3318176.0,5.49,984.0,71.59,60.35,82.77,2219.0,5016
162,109,132,352,84,105,19,11,623,94,2228397.0,4.74,925.0,59.65,46.63,71.65,2425.0,3039
193,84,296,1364,176,205,33,16,1187,182,3495249.0,6.65,892.0,68.56,59.1,77.0,2036.0,6393
29,102,27,191,23,92,0,5,771,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541
76,333,21,111,18,107,5,6,700,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1547
